,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,GPG,GSPG,MINPG,FGMPG,FGAPG,3FGMPG,3FGAPG,FTMPG,FTAPG,OFFPG,DEFPG,REBPG,ASTPG,STLPG,BLKPG,TOPG,PFPG,PTSPG,G_college,GS_college,MINPG_college,FGMPG_college,FGAPG_college,3FGMPG_college,3FGAPG_college,FTMPG_college,FTAPG_college,OFFPG_college,DEFPG_college,REBPG_college,ASTPG_college,STLPG_college,BLKPG_college,TOPG_college,PFPG_college,PTSPG_college,yrs_college,first_yr_college,last_yr_college,last_college,notes_college,CC_college,FR_college,DNP_college,FGM36_college,FGA36_college,3FGM36_college,3FGA36_college,FTM36_college,FTA36_college,OFF36_college,DEF36_college,REB36_college,AST36_college,STL36_college,BLK36_college,TO36_college,PF36_college,PTS36_college,yrs_since_college,rand,train_ind
2466,NBA,O.J.,Mayo,G,Regular Season,2008,(2015-16),547.0,325,16919,2808.0,6547.0,854,2287,1104.0,1346,285,1421,1706,1607,559,141,1130,1239,7574.0,-99.0,0,0,30.93053016453382,5.13345521023766,11.968921389396709,1.5612431444241317,4.180987202925046,2.0182815356489945,2.460694698354662,0.5210237659963437,2.5978062157221204,3.118829981718464,2.9378427787934185,1.0219378427787935,0.2577696526508227,2.0658135283363803,2.2650822669104205,13.846435100548446,33,32,36.84848484848485,7.181818181818182,16.242424242424242,2.6666666666666665,6.515151515151516,3.696969696969697,4.606060606060606,1.0606060606060606,3.484848484848485,4.545454545454546,3.303030303030303,1.5454545454545454,0.3939393939393939,3.5454545454545454,2.4242424242424243,20.727272727272727,1,2008,2008,University of Southern California,nan,0,0,0,7.016447368421052,15.868421052631579,2.6052631578947363,6.365131578947368,3.6118421052631575,4.5,1.0361842105263157,3.4046052631578947,4.440789473684211,3.226973684210526,1.5098684210526314,0.3848684210526315,3.4638157894736836,2.3684210526315788,20.249999999999996,2008,0.41120272429260185,train
2467,NBA,Skylar,Mays,G,Regular Season,2020,(2022-23),67.0,11,678,110.0,230.0,34,91,42.0,47,17,62,79,97,27,3,29,35,296.0,-99.0,0,0,10.119402985074627,1.6417910447761195,3.4328358208955225,0.5074626865671642,1.3582089552238805,0.6268656716417911,0.7014925373134329,0.2537313432835821,0.9253731343283582,1.1791044776119404,1.4477611940298507,0.40298507462686567,0.04477611940298507,0.43283582089552236,0.5223880597014925,4.417910447761194,130,121,30.484615384615385,4,8.984615384615385,1.3307692307692307,3.853846153846154,3.1076923076923078,3.6769230769230767,0.47692307692307695,3.146153846153846,3.623076923076923,2.9384615384615387,1.6384615384615384,0.19230769230769232,1.8307692307692307,1.7,12.438461538461539,4,2017,2020,Louisiana State University,nan,0,0,0,4.723694171082513,10.610143830431491,1.5715367146101438,4.551097653292961,3.6699470098410294,4.3421650264950795,0.5632096896290689,3.715367146101438,4.278576835730507,3.4700984102952313,1.934897804693414,0.22710068130204392,2.1619984859954577,2.007570022710068,14.6888720666162,2020,0.4761420302129088,train
2468,NBA,Travis,Mays,G,Regular Season,1990,(1992-93),115.0,64,2964,429.0,1047.0,104,287,311.0,415,75,158,233,326,102,14,213,232,1273.0,-99.0,0,0,25.77391304347826,3.7304347826086954,9.104347826086956,0.9043478260869565,2.4956521739130433,2.7043478260869565,3.608695652173913,0.6521739130434783,1.373913043478261,2.026086956521739,2.8347826086956522,0.8869565217391304,0.12173913043478261,1.8521739130434782,2.017391304347826,11.069565217391304,124,-99,35.00806451612903,6.112903225806452,13.82258064516129,1.9838709677419355,5.354838709677419,4.169354838709677,5.588709677419355,-99,-99,4.758064516129032,2.2580645161290325,1.2580645161290323,0.20161290322580644,3,2.8951612903225805,18.379032258064516,4,1987,1990,University of Texas at Austin,nan,0,0,0,6.286109191430546,14.214236351071182,2.040082930200415,5.506565307532827,4.287491361437456,5.747062888735314,-99.0,-99.0,4.892881824464409,2.3220456116102284,1.2937111264685557,0.2073255010366275,3.085003455425017,2.977194194885971,18.89979267449896,1990,0.09598860739283688,train
2470,NBA,Luc,Mbah a Moute,F,Regular Season,2008,(2019-20),689.0,453,16038,1685.0,3708.0,207,619,803.0,1218,965,1840,2805,588,612,263,648,1242,4380.0,-99.0,0,0,23.277213352685052,2.4455732946298983,5.381712626995646,0.30043541364296084,0.8984034833091437,1.165457184325109,1.7677793904208998,1.4005805515239478,2.6705370101596517,4.071117561683599,0.8534107402031931,0.888243831640058,0.38171262699564584,0.9404934687953556,1.802612481857765,6.357039187227866,107,106,29.485981308411215,3.4299065420560746,6.822429906542056,0.18691588785046728,0.8691588785046729,1.6542056074766356,2.4766355140186915,2.588785046728972,4.654205607476635,7.242990654205608,1.5700934579439252,1.280373831775701,0.616822429906542,1.794392523364486,2.1869158878504673,8.700934579439252,3,2006,2008,"University of California, Los Angeles",nan,0,0,0,4.187638668779715,8.329635499207606,0.2282091917591125,1.061172741679873,2.019651347068146,3.023771790808241,3.1606973058637085,5.682408874801902,8.843106180665611,1.916957210776545,1.5632329635499207,0.7530903328050712,2.19080824088748,2.6700475435816164,10.623137876386687,2008,0.2636791796503375,train
2471,NBA,Bob,McAdoo,C-F,Regular Season,1972,(1985-86),852.0,1,28327,7420.0,14751.0,3,37,3944.0,5229,1818,5502,8048,1951,751,1147,1223,2726,18787.0,-99.0,0,0,33.247652582159624,8.708920187793428,17.31338028169014,0.0035211267605633804,0.04342723004694836,4.629107981220657,6.137323943661972,2.1338028169014085,6.457746478873239,9.446009389671362,2.289906103286385,0.8814553990610329,1.346244131455399,1.4354460093896713,3.199530516431925,22.050469483568076,31,-99,-99,7.838709677419355,15.193548387096774,0,0,3.806451612903226,5.387096774193548,-99,-99,10.064516129032258,2.3225806451612905,-99,-99,-99,2.6774193548387095,19.483870967741936,3,1970,1972,University of North Carolina,nan,2,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1972,0.059694531388647776,train
2474,NBA,Miles,McBride,G,Regular Season,2021,(2022-23),104.0,4,1132,109.0,323.0,57,202,36.0,54,17,75,92,113,51,9,30,105,311.0,-99.0,0,0,10.884615384615385,1.0480769230769231,3.105769230769231,0.5480769230769231,1.9423076923076923,0.34615384615384615,0.5192307692307693,0.16346153846153846,0.7211538461538461,0.8846153846153846,1.0865384615384615,0.49038461538461536,0.08653846153846154,0.28846153846153844,1.0096153846153846,2.9903846153846154,60,30,27.983333333333334,4.316666666666666,10.3,1.1666666666666667,3.1666666666666665,2.8,3.566666666666667,0.8333333333333334,2.2666666666666666,3.1,3.2666666666666666,1.5,0.4,1.5666666666666667,1.7166666666666666,12.6,2,2020,2021,West Virginia University,nan,0,0,0,5.5533055390113155,13.250744490768316,1.5008933889219773,4.073853484216795,3.6021441334127453,4.58844550327576,1.072066706372841,2.916021441334127,3.9880881477069683,4.202501488981537,1.9297200714711136,0.5145920190589637,2.015485407980941,2.208457415128052,16.209648600357355,2021,0.19497719068809205,train
2475,NBA,Tahjere,McCall,G,Regular Season,2017,(2018-19),1.0,0,8,2.0,3.0,0,1,0.0,1,0,1,1,0,0,0,0,2,4.0,-99.0,0,0,8,2.0,3.0,0,1,0.0,1.0,0,1,1,0.0,0,0,0,2.0,4.0,117,92,26.042735042735043,3.3162393162393164,7.760683760683761,0.26495726495726496,1.1538461538461537,3.1025641025641026,4.581196581196581,1.4957264957264957,2.606837606837607,4.102564102564102,3.1025641025641026,1.8803418803418803,0.27350427350427353,2.752136752136752,2.8974358974358974,10,5,2013,2017,Tennessee State University,transfer student,0,0,1,4.58418116179849,10.727929110600591,0.3662618969478175,1.5950114867082374,4.2888086642599275,6.332786347226779,2.0676074827699376,3.603544469970463,5.6711519527404,4.2888086642599275,2.5992779783393503,0.3780767968493601,3.804397768296685,4.0052510666229075,13.823432884804726,2017,0.029688904929549453,train
2476,NBA,Ray,McCallum,G,Regular Season,2013,(2015-16),154.0,46,2808,374.0,916.0,71,212,101.0,142,78,228,306,368,79,27,148,190,920.0,-99.0,0,0,18.233766233766232,2.4285714285714284,5.9480519480519485,0.461038961038961,1.3766233766233766,0.6558441558441559,0.922077922077922,0.5064935064935064,1.4805194805194806,1.9870129870129871,2.3896103896103895,0.512987012987013,0.17532467532467533,0.961038961038961,1.2337662337662338,5.974025974025974,102,102,34.5,5.352941176470588,11.5,0.9509803921568627,3.284313725490196,4.205882352941177,5.813725490196078,1.2352941176470589,3.5294117647058822,4.764705882352941,4.421568627450981,1.7156862745098038,0.3137254901960784,2.284313725490196,2.0588235294117645,15.862745098039216,3,2011,2013,University of Detroit Mercy,nan,0,0,0,5.585677749360613,12.0,0.9923273657289001,3.4271099744245523,4.388746803069053,6.0664961636828645,1.289002557544757,3.682864450127877,4.971867007672634,4.61381074168798,1.7902813299232736,0.3273657289002557,2.383631713554987,2.148337595907928,16.55242966751918,2013,0.17858299398052624,train
2478,NBA,Brendan,McCann,G,Regular Season,1957,(1959-60),41.0,0,331,23.0,113.0,0,0,28.0,40,0,0,50,65,0,0,0,37,74.0,-99.0,0,0,8.073170731707316,0.5609756097560976,2.7560975609756095,0,0,0.6829268292682927,0.975609756097561,0,0,1.2195121951219512,1.5853658536585367,0,0,0,0.9024390243902439,1.8048780487804879,62,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,12.935483870967742,4,1954,1957,St. Bonaventure University,nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1957,0.4376703190524063,train
2479,NBA,Mel,McCants,F,Regular Season,1989,(1989-90),13.0,0,65,8.0,26.0,0,0,6.0,8,1,5,6,2,3,1,1,11,22.0,-99.0,0,0,5,0.6153846153846154,2.0,0,0,0.46153846153846156,0.6153846153846154,0.07692307692307693,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.8461538461538461,1.6923076923076923,125,121,27.208,4.56,8.12,0,-99,3.312,5.128,-99,-99,5.184,0.616,0.488,0.552,1.608,3.064,12.432,4,1986,1989,Purdue University,nan,0,0,0,6.033519553072625,10.743898853278449,0.0,-99.0,4.382240517494854,6.78506321670097,-99.0,-99.0,6.859159070861511,0.8150543957659512,0.6456924433990003,0.7303734195824758,2.127609526609821,4.054101734783887,16.44927962364011,1989,0.4684466222933633,train
2481,NBA,Mike,McCarron,G,Regular Season,1942,(1949-50),68.0,0,0,239.0,853.0,0,0,180.0,293,0,0,0,62,0,0,0,189,658.0,-99.0,0,0,0,3.514705882352941,12.544117647058824,0,0,2.6470588235294117,4.3088235294117645,0,0,0,0.9117647058823529,0,0,0,2.7794117647058822,9.676470588235293,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1942,1942,Seton Hall University,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1942,0.5139301131217694,train
2483,NBA,Willie,McCarter,G,Regular Season,1969,(1971-72),155.0,-99,2842,482.0,1198.0,0,0,126.0,192,0,0,248,304,0,0,0,281,1090.0,-99.0,0,0,18.335483870967742,3.109677419354839,7.7290322580645165,0,0,0.8129032258064516,1.238709677419355,0,0,1.6,1.961290322580645,0,0,0,1.8129032258064517,7.032258064516129,82,-99,-99,8.463414634146341,19.097560975609756,0,0,2.902439024390244,4.048780487804878,-99,-99,3.817073170731707,-99,-99,-99,-99,1.8048780487804879,19.829268292682926,4,1966,1969,Drake University,nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1969,0.24404127961910027,train
2484,NBA,Johnny,McCarthy,G,Regular Season,1956,(1963-64),316.0,0,8828,958.0,2714.0,0,0,534.0,859,0,0,1145,1184,0,0,0,885,2450.0,-99.0,0,0,27.936708860759495,3.0316455696202533,8.58860759493671,0,0,1.6898734177215189,2.7183544303797467,0,0,3.6234177215189876,3.7468354430379747,0,0,0,2.800632911392405,7.753164556962025,61,-99,-99,6.442622950819672,17.672131147540984,0,0,6.131147540983607,8.245901639344263,-99,-99,7.491803278688525,-99,-99,-99,-99,2.7704918032786887,21.62295081967213,4,1953,1956,Canisius College,nan,0,1,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1956,0.358482807493946,train
2485,NBA,Howie,McCarty,F-G,Regular Season,1940,(1946-47),19.0,0,0,10.0,82.0,0,0,1.0,10,0,0,0,2,0,0,0,22,21.0,-99.0,0,0,0,0.5263157894736842,4.315789473684211,0,0,0.05263157894736842,0.5263157894736842,0,0,0,0.10526315789473684,0,0,0,1.1578947368421053,1.105263157894737,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,1938,1940,Wayne State University,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1940,0.29454705527075187,train
2486,NBA,Kelly,McCarty,G-F,Regular Season,1998,(1998-99),2.0,0,4,2.0,3.0,0,0,0.0,0,2,1,3,0,0,0,2,0,4.0,-99.0,0,0,2,1.0,1.5,0,0,0.0,0.0,1,0.5,1.5,0.0,0,0,1,0.0,2.0,117,108,31.358974358974358,4.478632478632479,10.615384615384615,0.8974358974358975,3.017094017094017,2.0256410256410255,2.9316239316239314,2.572649572649573,4.6923076923076925,7.264957264957265,1.2905982905982907,-99,1.0854700854700854,-99,-99,11.88034188034188,4,1995,1998,University of Southern Mississippi,nan,0,0,0,5.141455437448897,12.18642681929681,1.0302534750613248,3.463614063777596,2.325429272281276,3.3654946852003267,2.9533932951757973,5.3867538838920686,8.340147179067866,1.4816026165167622,-99.0,1.2461161079313163,-99.0,-99.0,13.638593622240395,1998,0.21271596178201158,train
2490,NBA,Dwayne,McClain,G,Regular Season,1985,(1985-86),45.0,4,461,69.0,180.0,1,9,18.0,35,14,16,30,67,38,4,40,61,157.0,-99.0,0,0,10.244444444444444,1.5333333333333334,4.0,0.022222222222222223,0.2,0.4,0.7777777777777778,0.3111111111111111,0.35555555555555557,0.6666666666666666,1.488888888888889,0.8444444444444444,0.08888888888888889,0.8888888888888888,1.3555555555555556,3.488888888888889,125,-99,29.272,5.144,8.952,0,0,2.064,2.792,-99,-99,3.504,2.296,1.064,0.4,2.048,2.704,12.352,4,1982,1985,Villanova University,nan,0,0,0,6.326318666302269,11.009565455042361,0.0,0.0,2.5383984695271935,3.433725061492211,-99.0,-99.0,4.309374145941514,2.8237223285050557,1.308554249795026,0.49193768789286696,2.518720962011479,3.3254987701557805,15.19103580213173,1985,0.5427944564225196,train
2491,NBA,Ted,McClain,G,Regular Season,1971,(1978-79),178.0,-99,3487,430.0,963.0,0,0,198.0,252,97,313,410,541,183,19,144,430,1058.0,-99.0,0,0,19.589887640449437,2.4157303370786516,5.410112359550562,0,0,1.1123595505617978,1.4157303370786516,0.5449438202247191,1.7584269662921348,2.303370786516854,3.039325842696629,1.0280898876404494,0.10674157303370786,0.8089887640449438,2.4157303370786516,5.943820224719101,93,-99,-99,10.225806451612904,23.322580645161292,0,0,5.333333333333333,6.526881720430108,-99,-99,-99,-99,-99,-99,-99,-99,24.827956989247312,4,1968,1971,Tennessee State University,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1971,0.04621449209457518,train
2492,NBA,Dan,McClintock,C,Regular Season,2000,(2000-01),6.0,1,58,9.0,18.0,0,0,0.0,5,10,7,17,1,0,2,3,11,18.0,-99.0,0,0,9.666666666666666,1.5,3.0,0,0,0.0,0.8333333333333334,1.6666666666666667,1.1666666666666667,2.8333333333333335,0.16666666666666666,0,0.3333333333333333,0.5,1.8333333333333333,3.0,115,-99,18.94782608695652,4.71304347826087,7.460869565217391,0,0.008695652173913044,2.4260869565217393,3.7217391304347824,-99,-99,4.226086956521739,0.6869565217391305,0.34782608695652173,1.7043478260869565,1.7739130434782608,2.6,11.852173913043478,4,1997,2000,Northern Arizona University,nan,0,0,0,8.954566314823314,14.175309775126204,0.0,0.016521340064249657,4.609453877925654,7.071133547498852,-99.0,-99.0,8.029371271225331,1.3051858650757229,0.6608536025699863,3.2381826525929327,3.37035337310693,4.939880679210647,22.51858650757228,2000,0.509872454354739,train
2493,NBA,Jack,McCloskey,G,Regular Season,1944,(1952-53),1.0,0,16,3.0,9.0,0,0,0.0,0,0,0,3,1,0,0,0,2,6.0,-99.0,0,0,16,3.0,9.0,0,0,0.0,0.0,0,0,3,1.0,0,0,0,2.0,6.0,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1944,1944,University of Pennsylvania,nan,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1944,0.35463564780682877,train
