,League,FirstName,LastName,Pos.,Type,From,To,G,GS,MIN,FGM,FGA,3FGM,3FGA,FTM,FTA,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,Unnamed: 28,G.1,GS.1,MIN.1,FGM.1,FGA.1,3FGM.1,3FGA.1,FTM.1,FTA.1,OFF.1,DEF.1,REB.1,AST.1,STL.1,BLK.1,TO.1,PF.1,PTS.1
49,ABA,Henry,Akin,C-F,Regular Season,(1968-69),(1968-69),2.0,---,25,1.0,4.0,0,2,2.0,3,0,4,4,1,---,---,4,0,4.0,,---,---,12.5,0.5,2.0,0,1,1.0,1.5,0,2,2,0.5,---,---,2,0,2.0
50,NBA,Josh,Akognon,G,Regular Season,(2012-13),(2012-13),3.0,0,9,2.0,4.0,1,2,0.0,0,0,1,1,1,0,0,0,3,5.0,,---,---,3,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1,1.6666666666666667
51,NBA,DeVaughn,Akoon-Purcell,G,Regular Season,(2018-19),(2018-19),7.0,0,22,3.0,10.0,0,4,1.0,2,1,3,4,6,2,0,2,4,7.0,,---,---,3.142857142857143,0.42857142857142855,1.4285714285714286,0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.2857142857142857,0,0.2857142857142857,0.5714285714285714,1.0
52,NBA,Solomon,Alabi,C,Regular Season,(2010-11),(2011-12),26.0,0,181,16.0,51.0,0,0,7.0,10,22,39,61,5,4,11,8,16,39.0,,---,---,6.961538461538462,0.6153846153846154,1.9615384615384615,0,0,0.2692307692307692,0.38461538461538464,0.8461538461538461,1.5,2.3461538461538463,0.19230769230769232,0.15384615384615385,0.4230769230769231,0.3076923076923077,0.6153846153846154,1.5
53,NBA,Mark,Alarie,F,Regular Season,(1986-87),(1990-91),325.0,41,5500,1037.0,2184.0,34,135,324.0,418,438,682,1120,363,132,109,309,712,2432.0,,---,---,16.923076923076923,3.190769230769231,6.72,0.10461538461538461,0.4153846153846154,0.9969230769230769,1.2861538461538462,1.3476923076923077,2.0984615384615384,3.4461538461538463,1.116923076923077,0.40615384615384614,0.3353846153846154,0.9507692307692308,2.190769230769231,7.483076923076923
54,NBA,Gary,Alcorn,C,Regular Season,(1959-60),(1960-61),78.0,---,844,103.0,352.0,---,---,55.0,92,---,---,329,24,---,---,---,170,261.0,,---,---,10.820512820512821,1.3205128205128205,4.512820512820513,---,---,0.7051282051282052,1.1794871794871795,---,---,4.217948717948718,0.3076923076923077,---,---,---,2.1794871794871793,3.3461538461538463
55,NBA,Santi,Aldama,F,Regular Season,(2021-22),(2022-23),109.0,20,2042,300.0,657.0,100,314,128.0,176,118,340,458,118,51,58,76,179,828.0,,---,---,18.73394495412844,2.7522935779816513,6.027522935779817,0.9174311926605505,2.8807339449541285,1.1743119266055047,1.614678899082569,1.0825688073394495,3.1192660550458715,4.201834862385321,1.0825688073394495,0.46788990825688076,0.5321100917431193,0.6972477064220184,1.6422018348623852,7.5963302752293576
56,NBA,Furkan,Aldemir,F-C,Regular Season,(2014-15),(2014-15),41.0,9,540,40.0,78.0,0,5,13.0,27,78,98,176,28,17,16,17,96,93.0,,---,---,13.170731707317072,0.975609756097561,1.9024390243902438,0,0.12195121951219512,0.3170731707317073,0.6585365853658537,1.9024390243902438,2.3902439024390243,4.2926829268292686,0.6829268292682927,0.4146341463414634,0.3902439024390244,0.4146341463414634,2.341463414634146,2.268292682926829
57,NBA,Cole,Aldrich,C,Regular Season,(2010-11),(2017-18),339.0,23,3389,435.0,825.0,0,0,180.0,244,334,797,1131,183,137,233,199,509,1050.0,,---,---,9.997050147492626,1.2831858407079646,2.433628318584071,0,0,0.5309734513274337,0.7197640117994101,0.9852507374631269,2.3510324483775813,3.336283185840708,0.5398230088495575,0.40412979351032446,0.6873156342182891,0.5870206489675516,1.5014749262536873,3.0973451327433628
58,NBA,LaMarcus,Aldridge,F,Regular Season,(2006-07),(2021-22),1076.0,997,36242,8311.0,16872.0,227,710,3709.0,4563,2778,5959,8737,2076,758,1188,1643,2599,20558.0,,---,---,33.682156133829,7.723977695167286,15.680297397769516,0.21096654275092938,0.6598513011152416,3.447026022304833,4.2407063197026025,2.5817843866171004,5.538104089219331,8.119888475836431,1.929368029739777,0.7044609665427509,1.104089219330855,1.5269516728624535,2.4154275092936803,19.105947955390334
59,NBA,Chuck,Aleksinas,C,Regular Season,(1984-85),(1984-85),74.0,4,1114,161.0,337.0,0,1,55.0,75,87,183,270,36,15,15,72,171,377.0,,---,---,15.054054054054054,2.175675675675676,4.554054054054054,0,0.013513513513513514,0.7432432432432432,1.0135135135135136,1.1756756756756757,2.472972972972973,3.6486486486486487,0.4864864864864865,0.20270270270270271,0.20270270270270271,0.972972972972973,2.310810810810811,5.094594594594595
60,NBA,Cliff,Alexander,F,Regular Season,(2015-16),(2015-16),8.0,0,36,5.0,10.0,0,0,0.0,0,2,4,6,0,1,2,1,1,10.0,,---,---,4.5,0.625,1.25,0,0,0.0,0,0.25,0.5,0.75,0,0.125,0.25,0.125,0.125,1.25
61,NBA,Cory,Alexander,G,Regular Season,(1995-96),(2004-05),307.0,35,4847,587.0,1508.0,237,669,266.0,352,78,403,481,834,263,37,467,514,1677.0,,---,---,15.788273615635179,1.9120521172638436,4.912052117263844,0.7719869706840391,2.179153094462541,0.8664495114006515,1.1465798045602607,0.254071661237785,1.3127035830618892,1.5667752442996743,2.7166123778501627,0.8566775244299675,0.12052117263843648,1.521172638436482,1.6742671009771988,5.462540716612378
62,NBA,Courtney,Alexander,G,Regular Season,(2000-01),(2002-03),187.0,59,4067,655.0,1552.0,41,121,339.0,417,124,285,409,227,111,18,203,377,1690.0,,---,---,21.74866310160428,3.5026737967914436,8.29946524064171,0.2192513368983957,0.6470588235294118,1.8128342245989304,2.229946524064171,0.6631016042780749,1.5240641711229947,2.1871657754010694,1.213903743315508,0.5935828877005348,0.0962566844919786,1.085561497326203,2.016042780748663,9.037433155080214
63,NBA,Gary,Alexander,F,Regular Season,(1993-94),(1993-94),11.0,0,55,8.0,14.0,0,0,3.0,9,7,8,15,2,3,0,8,10,19.0,,---,---,5,0.7272727272727273,1.2727272727272727,0,0,0.2727272727272727,0.8181818181818182,0.6363636363636364,0.7272727272727273,1.3636363636363635,0.18181818181818182,0.2727272727272727,0,0.7272727272727273,0.9090909090909091,1.7272727272727273
